
File: lib/rdr_lib/librdrcommon.a(rdr_common.o)

Symbol table '.symtab' contains 1009 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 00000000     0 FILE    LOCAL  DEFAULT  ABS rdr_common.c
     2: 00000000     0 SECTION LOCAL  DEFAULT    1 .text
     3: 00000000     0 SECTION LOCAL  DEFAULT    2 .data
     4: 00000000     0 SECTION LOCAL  DEFAULT    3 .bss
     5: 00000000     0 SECTION LOCAL  DEFAULT    4 .text.es_keyboar[...]
     6: 00000000     0 NOTYPE  LOCAL  DEFAULT    4 $t
     7: 00000014     0 NOTYPE  LOCAL  DEFAULT    4 $d
     8: 00000000     0 SECTION LOCAL  DEFAULT    6 .text.rgb_matrix[...]
     9: 00000000     0 NOTYPE  LOCAL  DEFAULT    6 $t
    10: 000000b8     0 NOTYPE  LOCAL  DEFAULT    6 $d
    11: 00000000     0 SECTION LOCAL  DEFAULT    8 .text.rgb_matrix[...]
    12: 00000000     0 NOTYPE  LOCAL  DEFAULT    8 $t
    13: 00000000     0 SECTION LOCAL  DEFAULT   10 .text.IAPROM_WOR[...]
    14: 00000000     0 NOTYPE  LOCAL  DEFAULT   10 $t
    15: 00000001    46 FUNC    LOCAL  DEFAULT   10 IAPROM_WORD_PROGRAM
    16: 00000000     0 SECTION LOCAL  DEFAULT   12 .text.ee_verify_[...]
    17: 00000000     0 NOTYPE  LOCAL  DEFAULT   12 $t
    18: 00000001   136 FUNC    LOCAL  DEFAULT   12 ee_verify_pagefu[...]
    19: 0000007c     0 NOTYPE  LOCAL  DEFAULT   12 $d
    20: 00000000     0 SECTION LOCAL  DEFAULT   14 .text.rgb_matrix[...]
    21: 00000000     0 NOTYPE  LOCAL  DEFAULT   14 $t
    22: 00000098     0 NOTYPE  LOCAL  DEFAULT   14 $d
    23: 00000000     0 SECTION LOCAL  DEFAULT   16 .text.IAPROM_PAG[...]
    24: 00000000     0 NOTYPE  LOCAL  DEFAULT   16 $t
    25: 00000001    30 FUNC    LOCAL  DEFAULT   16 IAPROM_PAGE_ERAS[...]
    26: 00000000     0 SECTION LOCAL  DEFAULT   18 .text.ee_format
    27: 00000000     0 NOTYPE  LOCAL  DEFAULT   18 $t
    28: 00000001    56 FUNC    LOCAL  DEFAULT   18 ee_format
    29: 00000000     0 SECTION LOCAL  DEFAULT   20 .text.Vector68
    30: 00000000     0 NOTYPE  LOCAL  DEFAULT   20 $t
    31: 00000014     0 NOTYPE  LOCAL  DEFAULT   20 $d
